Player ID,Game Session ID,Score,Items Collected,Enemies Defeated,Timestamp
515-08-9110,777-08-9710,-87,33,40,2023-09-27 11:04:10
520-12-9624,799-17-1488,55,16,53,2023-09-26 15:45:24
647-38-1451,375-31-4283,91,14,88,2023-09-29 03:12:14
340-98-4721,553-18-3559,57,3,91,2023-10-01 10:31:16
,639-02-3521,78,13,16,2023-09-30 14:23:26
293-51-4841,272-56-4287,3,29,33,2023-09-29 06:44:50
076-96-6648,100-54-9381,37,25,69,2023-10-02 11:14:17
664-45-4782,554-45-2650,86,79,78,2023-10-02 14:18:46
,782-21-3004,-81,17,81,2023-09-25 04:10:00
218-90-2863,657-97-2923,77,16,45,2023-09-27 21:07:13
440-53-5519,592-80-4965,73,48,58,2023-09-23 17:49:00
584-31-3786,139-21-5123,21,27,14,2023-10-02 11:56:33
125-43-3474,562-51-5888,93,4,47,2023-09-24 16:48:52
215-98-8334,530-16-1495,81,13,87,2023-10-01 22:34:44
538-58-9952,581-16-7303,60,37,8,2023-10-01 23:30:07
629-98-1324,755-69-3769,17,13,77,2023-09-28 18:25:00
407-18-5415,628-30-6230,21,1,61,2023-09-27 14:45:33
391-44-5269,124-57-6731,99,24,17,2023-09-24 23:04:45
098-92-6878,130-55-9580,64,14,18,2023-09-27 09:59:32
831-05-8802,326-59-8227,88,12,54,2023-09-30 23:23:56
262-25-9983,873-60-0193,84,47,84,2023-09-24 05:52:45
050-71-2731,506-07-6706,76,0,65,2023-09-29 04:10:24
727-27-6128,449-94-7411,19,84,2,2023-09-23 14:58:41
176-93-9149,410-71-2208,88,0,53,2023-09-28 16:38:21
848-30-1864,772-23-8927,13,14,71,2023-09-24 02:25:47
496-55-9218,660-36-7707,53,30,31,2023-09-29 06:28:08
770-90-6298,426-12-7179,2,6,2,2023-09-26 16:49:15
079-25-7076,457-34-3134,66,24,73,2023-09-30 06:11:42
583-60-5639,152-62-1761,51,41,53,2023-09-24 23:30:04
877-04-3679,492-98-5769,76,67,31,2023-09-30 14:04:28
133-16-3289,100-60-1738,86,37,95,2023-09-26 10:48:08
311-72-1728,426-13-0397,95,15,19,2023-10-02 14:59:15
514-07-1289,259-78-8337,71,35,48,2023-10-03 09:52:40
351-40-6085,342-64-4831,70,94,8,2023-09-28 18:36:23
054-20-2630,110-43-9227,75,75,14,2023-09-29 02:03:06
336-56-0220,350-31-0487,91,45,26,2023-10-01 09:49:50
095-03-5287,192-63-6813,21,35,6,2023-09-27 03:12:55
620-35-6656,227-54-1405,4,20,9,2023-10-03 03:28:34
560-98-5963,064-40-8600,56,23,26,2023-09-30 23:13:12
818-39-9383,885-34-1836,29,80,44,2023-10-02 08:01:59
554-38-9642,450-49-8152,19,31,38,2023-09-26 23:03:00
,681-57-4639,46,49,4,2023-09-24 08:08:17
